dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:0000115,endothelial cell,8629
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:0000235,macrophage,317
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:0000738,leukocyte,1098
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,1064
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,603
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,51
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,1370
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,1321
Spatial transcriptomics in the healthy human kidney: Puck_200115_17,d98ea49e-b70d-4434-b850-bbe217c9b66e,renal medulla,UBERON:0000362,male,unknown,62-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,763
