dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000115,endothelial cell,7855
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000235,macrophage,172
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000738,leukocyte,652
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,608
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,801
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,23
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,1654
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,2862
Spatial transcriptomics in the healthy human kidney: Puck_200115_12,df4f1358-4a19-44f5-b136-bc7274c29789,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,569
