dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,159
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,3
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000738,leukocyte,207
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,647
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,7542
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,115
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:1000299,fibroblast of connective tissue of prostate,51
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:1000487,smooth muscle cell of prostate,199
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:2000059,prostate gland microvascular endothelial cell,157
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,25
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000165,neuroendocrine cell,5
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000738,leukocyte,43
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,1046
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,3201
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,123
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:1000299,fibroblast of connective tissue of prostate,270
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:1000487,smooth muscle cell of prostate,193
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:2000059,prostate gland microvascular endothelial cell,405
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,1604
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,11
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000738,leukocyte,184
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,212
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,6433
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,398
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:1000299,fibroblast of connective tissue of prostate,252
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:1000487,smooth muscle cell of prostate,273
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:2000059,prostate gland microvascular endothelial cell,422
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,742
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000165,neuroendocrine cell,6
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000738,leukocyte,25
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,333
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,1263
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,676
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:1000299,fibroblast of connective tissue of prostate,595
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:1000487,smooth muscle cell of prostate,280
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,c3fe3c1e-5bf8-4678-b74a-79899243ad41,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:2000059,prostate gland microvascular endothelial cell,602
