dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,159
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,3
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,647
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,7542
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,115
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,25
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000165,neuroendocrine cell,5
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,1046
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,3201
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,123
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,1604
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,11
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,212
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,6433
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,398
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,742
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000165,neuroendocrine cell,6
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,333
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,1263
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,676
