dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,65
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,12
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,235
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,5045
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,261
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,162
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,739
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,2251
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,peripheral zone of prostate,UBERON:8410026,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,80
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000151,secretory cell,209
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0000165,neuroendocrine cell,6
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,79
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,3609
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,29-year-old human stage,European,CL:1000296,epithelial cell of urethra,1872
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000151,secretory cell,800
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0000165,neuroendocrine cell,2
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002340,luminal cell of prostate epithelium,220
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:0002341,basal cell of prostate epithelium,791
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,88c483bf-477d-4be5-90d3-4fb101dd601f,transition zone of prostate,UBERON:8410025,male,unknown,31-year-old human stage,European,CL:1000296,epithelial cell of urethra,562
