dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000057,fibroblast,358
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000125,glial cell,166
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000131,gut endothelial cell,108
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000151,secretory cell,70
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000164,enteroendocrine cell,9
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000186,myofibroblast cell,162
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000235,macrophage,111
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000236,B cell,48
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000451,dendritic cell,2
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000576,monocyte,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000584,enterocyte,662
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000669,pericyte cell,29
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000677,gut absorptive cell,6
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000738,leukocyte,24
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000764,erythroid lineage cell,22
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000784,plasmacytoid dendritic cell,2
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000898,naive T cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0001071,group 3 innate lymphoid cell,4
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0002088,interstitial cell of Cajal,147
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0002319,neural cell,12
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0002504,enteric smooth muscle cell,99
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0008015,inhibitory motor neuron,25
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0009011,transit amplifying cell of colon,9
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0009012,transit amplifying cell of small intestine,76
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0009016,intestinal crypt stem cell of large intestine,18
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0009017,intestinal crypt stem cell of small intestine,12
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0011026,progenitor cell,72
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1,4506d9e3-4543-4464-aeae-b0b04eee1cea,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0019031,intestine goblet cell,394
