dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:0000115,endothelial cell,11182
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:0000235,macrophage,539
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:0000738,leukocyte,2147
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,813
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,834
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,142
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,3083
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,3091
Spatial transcriptomics in the healthy human kidney: Puck_200115_04,b627552d-c205-4ab3-b440-e08b3271d372,renal medulla,UBERON:0000362,male,unknown,56-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,671
