dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000860,classical monocyte,178
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000860,classical monocyte,465
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,54-year-old human stage,unknown,CL:0000860,classical monocyte,1056
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,63-year-old human stage,unknown,CL:0000860,classical monocyte,359
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,67-year-old human stage,unknown,CL:0000860,classical monocyte,835
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,68-year-old human stage,European,CL:0000860,classical monocyte,429
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,70-year-old human stage,European,CL:0000860,classical monocyte,891
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,female,unknown,84-year-old human stage,European,CL:0000860,classical monocyte,676
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000860,classical monocyte,180
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,38-year-old human stage,European,CL:0000860,classical monocyte,421
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,48-year-old human stage,Asian,CL:0000860,classical monocyte,360
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,49-year-old human stage,European,CL:0000860,classical monocyte,418
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,63-year-old human stage,unknown,CL:0000860,classical monocyte,1251
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,male,unknown,80 year-old and over human stage,European,CL:0000860,classical monocyte,2036
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,unknown,unknown,human adult stage,European,CL:0000860,classical monocyte,11409
Classical Monocyte sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,db0752b9-f20e-40b8-8997-992f3ae0bb2e,blood,UBERON:0000178,unknown,unknown,unknown,unknown,CL:0000860,classical monocyte,4258
