dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000003,native cell,148
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000057,fibroblast,1348
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000077,mesothelial cell,3
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000097,mast cell,1
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000115,endothelial cell,53
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000192,smooth muscle cell,26
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000235,macrophage,123
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000451,dendritic cell,2
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000576,monocyte,2
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000623,natural killer cell,1
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000669,pericyte cell,932
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",1
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",5
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,2001
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,14
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0002144,capillary endothelial cell,469
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0002319,neural cell,18
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:0002543,vein endothelial cell,22
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:1000309,epicardial adipocyte,91
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,eighth decade human stage,European,CL:1000413,endothelial cell of artery,94
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000003,native cell,369
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000057,fibroblast,194
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000097,mast cell,25
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000115,endothelial cell,20
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000192,smooth muscle cell,109
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000235,macrophage,31
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000236,B cell,3
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000451,dendritic cell,2
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000576,monocyte,4
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000623,natural killer cell,24
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000669,pericyte cell,807
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",12
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000814,mature NK T cell,10
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",7
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",5
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,1648
All — Cells of the adult human heart,d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,apex of heart,UBERON:0002098,female,unknown,fifth decade human stage,European,CL:0002144,capillary endothelial cell,90
