dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000115,endothelial cell,12930
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000235,macrophage,185
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000738,leukocyte,1097
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,483
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,810
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,262
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,993
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,1231
Spatial transcriptomics in the healthy human kidney: Puck_200113_10,0737011b-45a6-49f6-8b5a-b85c35160bac,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,386
