dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:0000115,endothelial cell,8669
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:0000235,macrophage,213
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:0000738,leukocyte,1072
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:0019018,blood vessel smooth muscle cell,332
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:1000692,kidney interstitial fibroblast,954
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:1000849,kidney distal convoluted tubule epithelial cell,329
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,2377
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:1001431,kidney collecting duct principal cell,2231
Spatial transcriptomics in the healthy human kidney: Puck_200104_17,53ea4f06-0319-4b13-8e9d-e2581023aab7,renal medulla,UBERON:0000362,male,unknown,53-year-old human stage,African American,CL:1001432,kidney collecting duct intercalated cell,1600
