dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000115,endothelial cell,8881
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000235,macrophage,51
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0000738,leukocyte,834
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,305
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,791
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,52
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,652
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,1130
Spatial transcriptomics in the healthy human kidney: Puck_200113_09,a5a6c83a-3afe-4a87-8c32-691118c46e51,renal medulla,UBERON:0000362,female,unknown,64-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,1084
