dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000115,endothelial cell,9468
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000235,macrophage,163
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0000738,leukocyte,1710
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,481
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,682
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,21
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,2398
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,2835
Spatial transcriptomics in the healthy human kidney: Puck_200115_14,8c275f25-d8d9-40b2-a81d-498bf89c4677,renal medulla,UBERON:0000362,male,unknown,54-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,713
